SessionTime,TimeStamp,log,Averaging,Delta_AF7,Delta_AF8,Delta_TP9,Delta_TP10,Theta_AF7,Theta_AF8,Theta_TP9,Theta_TP10,Alpha_AF7,Alpha_AF8,Alpha_TP9,Alpha_TP10,Beta_AF7,Beta_AF8,Beta_TP9,Beta_TP10,Gamma_AF7,Gamma_AF8,Gamma_TP9,Gamma_TP10,AF7_Variance,AF8_Variance,TP9_Variance,TP10_Variance,Motion_Variance
1728781380963,1728781381730,,1.0,1.46609,5.01075,1.05987,1.83116,1.1785,2.40458,1.78746,0.87517,0.87098,1.3115,4.16641,4.14448,0.87923,0.99676,2.17774,2.74743,0.37854,0.27192,1.00615,0.74979,1065.0,565.0,7242.0,5370.0,0.01764
1728781380963,1728781382731,,1.0,2.84641,7.52442,1.08686,1.8755,2.1365,2.6584,1.85406,0.90782,1.51675,1.2919,4.17248,4.14448,1.02131,1.10167,2.25027,2.86801,0.50027,0.36304,0.96561,0.74207,581.0,389.5,3144.0,2388.0,0.01068
1728781380963,1728781383733,,1.0,5.20672,7.46747,1.29345,2.80751,2.68879,1.61792,1.79497,1.89648,3.93272,2.32913,9.4276,11.24212,1.05884,1.20673,2.51419,3.24435,0.53149,0.50595,0.90828,0.69489,63.5,79.0,429.5,428.0,0.00861
1728781380963,1728781384734,,1.0,4.52579,3.63143,1.2512,1.46257,1.34876,1.26876,2.24364,1.15959,2.6727,1.8942,9.81677,9.65474,0.77989,1.00062,2.49673,2.15878,0.29361,0.53193,0.80282,0.59206,49.5,42.5,429.0,396.5,0.00537
1728781380963,1728781385736,,1.0,4.80977,3.45791,2.74837,2.39022,0.54432,0.9623,1.68917,1.36794,1.40235,1.73029,7.71269,5.78698,0.67143,0.76699,2.02093,1.89456,0.29988,0.38631,0.70868,0.60796,38.5,37.0,428.5,395.0,0.02612
1728781380963,1728781386737,,1.0,0.74018,1.73089,2.34329,2.37697,0.5987,0.58208,1.88036,1.68682,1.67816,1.59054,8.6282,6.66055,0.55475,0.89081,1.57277,1.60999,0.26577,0.41994,0.5971,0.51512,16.0,25.5,428.5,398.5,0.00665
1728781380963,1728781387737,,1.0,0.33859,0.54194,0.75297,0.67,0.70554,0.69496,2.32985,1.45215,1.4644,1.62461,8.72548,5.62454,0.52758,0.95842,1.50277,1.62161,0.28219,0.44857,0.54809,0.3967,14.0,21.0,431.0,386.0,0.00946
1728781380963,1728781388737,,1.0,0.45242,0.5086,0.99122,0.68136,0.52165,0.58384,1.98246,1.19922,1.26973,1.70728,8.27156,4.37932,0.62753,0.73691,1.33266,1.63988,0.24532,0.34279,0.75651,0.48965,16.5,19.0,429.0,396.5,0.00806
1728781380963,1728781389738,,1.0,0.51915,0.34024,1.12199,0.54121,0.70003,0.32354,2.25203,1.55522,1.81664,1.83259,5.71012,4.72031,0.59014,0.8215,1.18535,1.67965,0.22235,0.2719,0.70436,0.58569,19.0,17.0,412.5,389.0,0.01111
1728781380963,1728781390739,,1.0,0.86099,0.54076,0.84851,0.75004,0.89553,0.49614,3.24832,3.09987,1.78671,1.45416,4.96329,4.54731,0.68935,0.79754,1.44927,1.63452,0.27093,0.289,0.68339,0.54957,28.0,26.0,401.5,383.5,0.03094
1728781380963,1728781391740,,1.0,1.63753,1.20657,0.87778,1.25329,0.88707,0.9816,1.81395,2.11123,1.42554,1.48802,11.75091,6.54297,0.77803,0.89862,1.6785,1.60821,0.26108,0.24417,0.61549,0.81595,25.5,28.5,420.0,403.0,0.01013
1728781380963,1728781392739,,1.0,1.36119,0.87998,1.207,1.14908,0.71302,1.12117,1.33743,1.87265,1.59707,1.53648,14.50379,7.73375,0.71752,0.82103,1.59045,1.89119,0.23738,0.20969,0.49102,0.70234,23.0,21.5,415.0,386.0,0.01599
1728781380963,1728781393735,,1.0,1.27507,0.53625,1.48338,0.79893,0.59646,0.75104,0.98907,1.1372,1.14007,1.31057,5.64502,5.65925,0.64009,0.74823,1.69839,1.79741,0.26524,0.24013,0.58055,0.4185,23.5,16.0,405.5,381.5,0.02045
1728781380963,1728781394739,,1.0,1.26663,0.72936,1.883,1.53395,1.09228,0.4935,1.11177,0.63473,0.88269,1.80434,2.66178,4.36221,0.7362,0.57932,1.59644,1.48588,0.33872,0.23259,0.79081,0.55006,31.0,27.0,489.5,443.5,0.01611
1728781380963,1728781395739,,1.0,2.15445,1.16401,3.90782,5.25729,1.75758,1.03128,2.58943,3.60854,1.26142,2.16343,8.12907,8.42682,0.79808,0.68995,1.99606,1.14791,0.27947,0.32264,0.75131,0.80189,60.0,36.5,582.5,497.0,0.00684
1728781380963,1728781396742,,1.0,3.56075,1.35474,5.1392,7.45091,1.65674,1.39602,5.26953,7.29024,1.30495,2.49944,7.74309,10.64788,0.64019,0.90738,2.28473,1.68372,0.26902,0.34266,0.69847,0.92653,33.0,37.5,425.5,415.5,0.02069
