SessionTime,TimeStamp,Averaging,Valid,log,Muse_Artifact,Delta_AF7,Delta_AF8,Delta_TP9,Delta_TP10,Theta_AF7,Theta_AF8,Theta_TP9,Theta_TP10,Alpha_AF7,Alpha_AF8,Alpha_TP9,Alpha_TP10,Beta_AF7,Beta_AF8,Beta_TP9,Beta_TP10,Gamma_AF7,Gamma_AF8,Gamma_TP9,Gamma_TP10,AF7_Variance,AF8_Variance,TP9_Variance,TP10_Variance,Motion_Variance
1729839979346,1729839978395,1,true,,,3.10585,12.46092,3.23929,5.2903,1.3743,2.81696,5.24747,2.63457,1.29784,1.79073,5.52535,1.07736,1.14615,1.33589,6.2683,2.65944,0.42093,0.41813,3.12961,1.61946,43.1,59.2,979.0,1026.0,0.987
1729839979346,1729839979396,1,true,,,1.64828,4.6724,3.23929,5.2903,1.42577,1.14538,5.24747,2.63457,1.33814,1.47781,5.52535,1.07736,0.92393,1.22473,6.2683,2.65944,0.50319,0.65316,3.12961,1.61946,107.7,395.3,2607.6,2543.1,0.989
1729839979346,1729839980395,1,true,,,6.6272,2.68633,3.23929,5.2903,3.08816,0.93237,5.24747,2.63457,1.98449,1.39014,5.52535,1.07736,1.0212,1.16043,6.2683,2.65944,0.61413,0.60273,3.12961,1.61946,50.0,96.0,158.0,85.0,0.989
1729839979346,1729839981395,1,true,,,3.33388,6.55345,1.27614,5.32672,1.78653,3.43629,1.28647,1.8041,2.30754,2.1253,1.87767,1.66487,1.17325,1.61599,4.77331,1.80331,0.50332,0.51915,2.24058,2.00309,40.0,70.0,132.0,64.0,0.988
1729839979346,1729839982395,1,true,,,0.87805,4.40809,1.91188,4.64515,0.44109,1.95447,1.06493,1.90222,1.76177,1.80509,1.83616,2.68553,1.37139,1.48645,3.38049,2.22474,0.42099,0.41538,1.50484,1.63897,64.0,84.0,355.0,192.0,0.988
1729839979346,1729839983394,1,true,,,1.80917,6.70996,2.46695,12.85109,1.01139,1.6661,1.47082,6.99117,1.69938,2.00937,1.47696,6.92787,1.39901,1.06434,1.758,3.41972,0.32727,0.29782,0.77915,1.21619,39.0,148.0,126.0,66.0,0.987
1729839979346,1729839984395,1,true,,,1.37411,8.37202,1.91567,7.93524,0.63918,0.97123,1.24494,3.89637,1.43262,1.50473,2.31361,4.2773,1.38845,1.25672,3.98869,2.35619,0.33014,0.31245,1.37553,1.20996,47.0,348.0,788.0,791.0,0.989
1729839979346,1729839985395,1,true,,,1.9926,8.80927,1.96259,3.31177,0.80443,1.00434,1.25725,1.45576,1.75772,1.04232,2.4533,1.9593,1.20565,1.21992,4.43313,1.48946,0.38632,0.33785,1.43761,1.19707,64.2,190.6,243.8,121.4,0.99
1729839979346,1729839986395,1,true,,,3.04082,8.17542,13.7085,3.2062,1.6421,1.22959,6.83817,1.4155,2.78452,1.17547,8.58539,1.91038,1.05405,1.25438,4.97416,1.46521,0.55982,0.46748,2.58845,1.20515,179.5,115.3,1388.8,1670.4,0.991
1729839979346,1729839987395,1,true,,,3.3279,10.41118,12.52651,3.2062,1.75077,2.88543,5.85652,1.4155,3.0621,2.25959,6.85094,1.91038,2.23105,2.16127,4.94709,1.46521,0.8706,1.77951,2.90015,1.20515,95.0,210.0,222.0,125.0,0.983
1729839979346,1729839988395,1,true,,,3.34264,12.74706,3.3808,6.45714,1.53437,3.72898,2.4805,5.59165,3.77981,5.50516,3.86002,7.12919,4.97588,3.03704,4.50028,3.06253,1.82046,2.10179,3.03361,2.25689,65.0,66.0,156.0,60.0,0.987
1729839979346,1729839989395,1,true,,,2.09971,4.18572,1.66422,2.27316,0.65654,1.61258,0.91214,1.99618,1.86943,4.20659,3.27378,4.53242,3.13213,1.44241,4.20969,2.784,1.17875,1.38188,2.13157,1.64135,58.0,53.0,137.0,54.0,0.991
1729839979346,1729839990395,1,true,,,0.83086,1.69691,1.99297,1.47336,0.46826,0.89066,0.62752,1.24827,1.35841,0.87668,3.32078,2.75493,2.65968,1.21896,3.43202,2.84394,0.9301,1.19154,1.3419,1.60909,85.7,158.8,161.1,71.9,0.992
1729839979346,1729839991395,1,true,,,1.77844,1.18809,2.50415,2.10363,1.14797,0.79088,1.3954,1.83476,2.59066,0.85294,2.33986,3.83575,3.4784,1.30593,3.85745,2.73307,1.18198,1.08675,1.90981,1.992,254.0,1657.0,1961.0,2072.0,0.996
1729839979346,1729839992395,1,true,,,17.95891,1.30371,3.03865,3.48674,10.13958,0.813,2.05717,2.4559,9.65339,0.69016,1.90397,3.46075,5.9283,1.76982,5.4611,3.50494,3.10056,0.79508,2.3871,2.6996,197.4,593.3,178.7,129.3,1.053
1729839979346,1729839993395,1,true,,,6.05927,1.30371,4.99183,4.52856,3.51115,0.813,2.84918,3.88696,4.17273,0.69016,3.96296,4.29645,5.90704,1.76982,6.00648,5.86935,4.32643,0.79508,3.03347,3.19139,126.0,371.0,228.0,161.0,0.969
1729839979346,1729839994395,1,true,,,4.88922,1.30371,5.61229,4.96821,2.73993,0.813,4.797,3.45144,3.40181,0.69016,13.40942,8.12849,4.35161,1.76982,8.00811,5.36118,3.94466,0.79508,3.02009,3.46537,201.0,461.0,2506.0,2402.0,0.985
1729839979346,1729839995395,1,true,,,10.32167,1.38217,5.7023,5.96541,4.62647,0.82905,5.73575,2.10557,5.45858,0.72472,11.8968,8.10942,4.69451,1.81547,9.65295,5.62976,2.50225,0.85398,2.27107,3.6925,79.0,79.0,174.0,96.0,0.987
1729839979346,1729839996395,1,true,,,3.7234,2.67787,4.54642,3.72701,2.37132,1.04756,1.46053,2.74019,3.72812,1.525,9.07758,4.69256,2.74998,2.49902,3.74068,4.01578,1.73225,1.37978,1.5406,2.68232,74.3,57.3,145.5,73.5,0.992
1729839979346,1729839997395,1,true,,,3.07249,1.98322,2.39078,2.12476,1.2496,0.75959,1.31662,1.55271,2.31729,1.77562,6.47366,4.39957,2.18062,2.27824,3.75682,3.11222,1.43262,1.01107,1.66951,2.72979,61.7,66.7,182.4,69.5,0.993
1729839979346,1729839998394,1,true,,,3.99531,1.64866,3.54495,1.22507,1.00649,0.96808,2.34558,1.49879,1.37088,2.717,3.66362,4.48177,1.7461,2.11159,3.51318,2.97078,0.93457,1.1858,2.01878,1.74313,84.0,75.0,146.0,80.5,0.992
1729839979346,1729839999396,1,true,,,4.97348,2.36216,4.04921,1.48898,1.27559,1.02327,1.82411,1.71344,1.71882,2.10087,4.49904,4.37744,1.86638,2.74625,2.76058,3.51447,0.90855,1.27647,2.00729,1.60066,161.0,56.0,118.0,66.0,0.992
1729839979346,1729840000395,1,true,,,8.96623,2.30622,3.66016,1.49848,2.75632,0.77282,1.01478,2.16521,3.27333,1.83008,3.0945,2.97023,2.89015,3.11329,3.13148,3.12795,0.69847,0.7812,1.36377,2.46428,145.0,900.0,3353.0,3098.0,0.988
1729839979346,1729840001395,1,true,,,10.80687,2.00138,4.43313,3.0467,5.29529,0.47092,0.98632,2.93609,2.67695,1.8249,1.59676,1.25948,2.12491,2.90483,2.94673,2.82963,1.07275,0.49324,0.97485,2.54871,65.0,75.0,177.0,99.0,0.99
1729839979346,1729840002395,1,true,,,4.74581,3.58039,3.71963,1.78735,3.12745,1.87871,2.56744,2.28576,2.56797,1.72588,3.11394,2.0179,2.43069,2.36619,2.96832,3.77416,0.68595,0.81649,1.50259,2.61505,49.0,74.0,128.0,65.0,0.99
1729839979346,1729840003395,1,true,,,2.74688,2.82547,2.60892,0.71103,1.27174,1.61187,2.70352,1.38061,2.10276,2.26048,5.22733,4.72193,2.67855,2.87886,2.98332,3.78748,0.52422,0.85379,1.88751,2.52122,78.0,70.0,151.0,89.0,0.992
1729839979346,1729840004395,1,true,,,3.41554,3.25132,1.86084,0.84586,1.0888,1.18173,1.84404,2.05826,1.92314,2.35093,4.55638,5.20535,1.90112,2.0247,3.69777,3.88186,0.91434,1.22899,1.58818,2.45669,76.0,70.5,119.5,66.0,0.991
1729839979346,1729840005395,1,true,,,3.20295,3.59824,1.80165,1.14156,1.01347,1.67923,1.79226,2.1015,2.18716,2.48033,4.454,5.48025,2.18353,1.90012,4.16946,3.59393,1.20318,1.6326,1.51929,2.23553,75.0,94.0,151.0,91.0,0.991
1729839979346,1729840006395,1,true,,,4.5458,4.8863,2.40281,1.29604,1.86836,1.71688,2.44822,3.15232,2.84715,3.39923,3.63865,7.7852,2.5064,2.61517,4.49252,4.1133,0.90371,0.91491,1.69652,2.95318,124.0,52.0,135.0,65.0,0.993
1729839979346,1729840007394,1,true,,,3.0997,2.30091,2.70826,1.96232,1.49651,1.19286,1.14744,1.97966,1.89911,2.14837,1.99972,4.57162,2.47053,1.91219,3.67443,3.82243,0.80244,0.5815,1.60657,3.05562,231.0,291.0,3715.0,3601.0,0.977
1729839979346,1729840008395,1,true,,,2.23903,2.54712,2.80627,2.87501,0.95541,1.60887,0.59437,1.24704,1.24137,1.60624,0.78132,1.6349,2.717,2.31894,2.89314,2.80201,1.10309,1.28,1.33604,2.64954,108.0,86.0,143.0,265.0,0.986
1729839979346,1729840009395,1,true,,,2.76191,2.51762,4.29398,3.22441,0.74545,1.61942,1.38248,3.11,2.31611,2.92489,5.1027,15.64264,3.58905,2.88968,3.85558,16.32488,2.90918,2.14452,2.03503,8.54024,76.0,69.0,144.0,101.0,0.992
