log,X,Y,cluster
setting intention ,24.38964393973108,4.549962283241055,10
begin session ,-4.603680260028116,25.084782303860884,8
visuals  sounds and somatic sensations pulsing in harmony. visual field mildly darkens at each pulse,-7.663023218853378,26.160214450029336,8
visuals: boundaries blurring and sometimes disappearing between objects of like colors ,-4.74578891360395,19.49953614972307,0
visuals: blooming shadowy vibrations at various places in the field,-7.94933723434782,26.26953945289302,8
nimitta 1m dia,-7.06914149196192,25.488093559782943,8
mild visual field trembling synchronized with somatic trembling ,-8.170572446676374,24.627402083362643,9
eyes tearing up; inner sounds prominent ,-14.02553574320005,24.50243534861109,9
head drop territory ,0.3755482750794546,22.45946906471122,8
visuals: tiny lines and pulses of deep dark shadows running up boundaries of objects very rapidly ,-10.098535474611197,23.969640353459063,9
gentle 3rd shamatha jhana feel,11.64014736214475,24.80699961381613,6
sleepy,-9.569068046045048,22.685502146917983,9
somatic: very subtle sense of body swaying/shaking side to side rapidly,-12.899720890940698,19.705927156162083,9
visual: fire kasina-like small flecks of boldly glowing black stuff (like volcanic ash) drifting around the field in 3d,-12.459232427576628,20.138404320159445,9
setting intentions ,8.909453355562444,14.93168896386564,19
begin session ,-7.659757632413177,20.153663789503568,9
 watching the dot without trying to move or manipulate it ,6.03479940326447,-0.9733112127240586,4
shifting dot to the left ,19.376015377599565,3.0387880897546355,10
pushing dot to the right ,-18.293331160979964,-7.056070500950064,16
watching the murk ,-21.416907720722417,-14.8051644743171,16
making the visual attention as wide as possible ,3.6544246510361376,-11.534304713753484,3
focusing near ,-15.559312265768945,-0.6809457927219073,1
focusing far,-20.50817745787269,-5.802596378576104,16
narrow central focus ,-21.76169868195152,-11.820939277330158,16
attempting to expand the color ,-15.04751857535694,-3.1057460948741733,7
looking up ,-18.58407373121737,-8.99584994653009,7
attempting J1 ,-6.093773700336135,-6.582766962148727,7
attempting j3 ,-13.864478064263391,-8.182291988483442,7
soft j3  some Dissolution mixed in,-18.871521125278328,-9.08807834915808,11
attempting j4 ,-0.939246503685556,-13.701563840853826,7
watching the field gently ,-5.746601765976156,-0.45050988959139,7
expand the color ,-17.718474114250636,-5.336869093092901,7
imagine a white circle ,-21.643508323557764,-5.466692479278019,16
imagine filling heart chakra ,-14.714932622092103,-2.540614260336601,7
unlatch,-20.830892431291037,-4.306127860018135,16
setting intention ,23.718041107322083,-10.15498684399842,17
begin session ,-9.322732922485276,-15.945743233137074,11
large red flame shaped dot   located at 11:30   vertically slightly below center line,2.937833506476647,-12.136087042699948,13
setting intention ,7.170468196071895,-1.7365488608586137,5
starting session ,15.46674454363596,2.9652112478489814,18
"recalled and mentally reciting ""o secret of secrets...""",14.046333366342113,-7.016742635634692,3
a bit bothered by tension in my left shoulder ,13.53123390518232,-3.1381647720184995,3
visual field patterning over,28.635826925808114,3.157737236982353,17
the plant is swaying moving glowing ,9.918033554907224,2.1891654963428127,4
plant is disappearing into the patterned background ,15.896032280060036,-8.955900793137458,3
3D sense of space warping objects warping around it with it ,11.4190988446437,-14.988962683206005,3
the 3D visual field pulling away from me in a swaying motion. a bit unnerving ,11.721799674651864,-15.141281473216898,3
the plant merging into the leaves behind and forming slightly creepy looking skull faces ,7.909084223670123,-20.109181452186878,2
showing fear flavor ,10.751032481800074,-21.42975974037641,2
eyes seem to be rolling on their own in anticlockwise Direction ,12.17881281843552,-19.46778591822297,2
visual swirling fog very close to my vision within 10 centimeters ,12.141791588777544,-21.14293882475904,2
the body seems to be warping like the visual field,3.1035349475725016,5.762565553665472,4
eyes a bit dry and sometimes tearing up. sore throat ,10.296186367977782,17.974910016647577,6
sudden shot of fear sensation ,11.087225523890917,-22.206380477418296,2
 inner sound travelling in pulses from right to left  about 1 pulse per 2 seconds ,9.380924358622098,-24.51433725428858,2
opening eyes the feels light suddenly very strong static vibrations ,5.865482007709579,-26.73906190524432,2
mild piti in hands   visuals suddenly strongly staticky,12.536175783346447,-24.561650596719712,2
static vibrations blowing rapidly across left to right ,11.875278024588768,-25.867602222403686,2
sudden strong shot of fear as something in left corner of visual field shifted. looked like a human form moving. fear fear fear ,10.079005096834214,18.140652203218337,6
exploring sensation of fear ,12.890781669836532,-19.38563195230526,2
setting intention ,17.281355690707354,7.440039596918575,18
begin session ,0.3305764479779868,12.732917198811132,0
mild pulsing rumbling in the body a bit faster than once a second ,13.056965323617655,2.0811859868333102,18
sounds traveling across each other in a helix like structure ,-10.546398001632298,-0.0342059613035358,7
mild appearance of flame replicating and dispersing outward and upwards ,-4.513087777725552,2.4636210233954907,4
setting intention ,-24.333978612214683,-11.797317715550006,11
begin session ,17.19205370047739,0.043425771120484,3
open eye view of the light bulb is trembling ,-10.24093654775235,20.556628353008,9
 the space in the room seems to be warping   distorting (3D distortion),4.24921718276285,3.909655710962116,4
open eye nimitta about 50 cm diameter fairly faint ,8.009911702640787,5.751360421365469,8
dot at 11:00   a bit above centre ,9.11028371654714,10.738647895381746,6
sound is traveling between left and right sides in a 2D fashion. vibrating several times a second. hissy sippy sound ,-17.57424531062766,-11.286570549538284,7
closed eye visual field background is fairly bland static  uneven  with some faintblooming patterns ,1.4355040059001931,-18.852694864125173,13
body fairly quiet. almost 3rd shamatha jhana feel but mildly unpleasant ,-25.279892015985418,-7.079395135713365,16
spinning dot is rather unspectacular  slightly blurry ,-4.0714824670903536,-20.43544331413796,13
sudden single inexplicable body shudder like a mini earthquake ,10.55198527433378,-20.04258112404251,2
a band of darker colored stuff horizontally running across closed eye visual field ,7.024160468163493,-18.35433632866428,4
the murk is fairly easy to watch  though unspectacular. has a slight 3D feel to it,-6.057987109832932,-15.763495020726124,11
attention is in the center. more restricted than A&P but not super narrow ,0.0734495298228381,-14.51823995301534,4
open eyes to refresh light ,-18.129775444560646,-14.236128606533748,16
open eye visual field fogging up significantly. grey light fog ,5.418573207720976,-24.91889576610916,4
closed eyes,15.548200575963795,-10.534434376487273,3
dot travelling towards top left corner of field ,8.424779306856836,-23.45605996869948,2
pulsing dot and halo ,8.788478795699751,-20.02759279603201,2
black dot ,8.79623429431227,-18.08023308488008,2
refreshing light ,-25.39025240134641,-7.396827564604517,16
faint nimitta,22.763117064439385,-9.263881559134983,17
 3D space warping in the open eye  visual field. drifting slowly ,7.115308969014619,-12.424921388684638,4
closed eye,21.40225501731325,-8.79433181588393,17
dot at 10:30 ,-5.041049465171759,-18.31399080313548,13
pulsing dot and Halo ,2.9542951775136674,-16.695866513621684,13
open eyes just observe ,-4.499815337752002,-22.589920456191944,13
setting intention ,22.929621975435516,-8.635878805637844,17
begin session ,19.830954007297123,-4.733359945086595,3
visuals are crisp and minimally staticky but rather dark and mild fisheye view (too much perspectival depth),1.7460076331080654,1.3799237194967624,4
slight j3 flavour but somewhat unpleasant,22.48029122348809,-2.8779023543896085,3
inner sound moving in 3D arc  left to right,8.867619976282539,2.583086857624514,18
sleepy ,-19.64581052855418,17.662625237761368,9
imaginary conversations ,-21.281227704968504,15.910811359825995,9
spontaneous moderate piti  head and face ,-22.32938142641375,9.95153674777041,5
 spontaneous piti. moderately strong  spread around the body. started at head ,-12.436745815901752,-12.743866315102576,7
 sleepy ,-2.7585330596216644,3.2897070901987244,5
spontaneous piti,6.748557211622449,-13.341216399104278,3
closed eye visuals are very faint  but complex rapidly changing pattern and colors ,5.353411194901865,-13.467336277242923,3
setting intention ,27.27049322215505,0.6742643255248709,14
begin session ,-0.994819389529651,25.615099021505458,8
start session ,13.170441162338571,16.588805293531433,15
Neck release especially on the right side  mild tingling on right side of head ,19.29352002755111,10.173870553192767,10
setting intention ,17.043624393536486,18.069415017258123,15
starting session ,19.41714711671403,12.985234393541509,10
mild wobbly feeling around the body especially lower torso and legs ,22.86047217505728,9.193200275343044,10
